name,feast,start_date,end_date,leap_start,leap_end
blessed-adalbero-of-liege,1 january,23 December,31 December
blessed-andres-gomez-saez,1 january,23 December,31 December
blessed-beatrice-of-amptenhausen,1 january,23 December,31 December
blessed-bonannus-of-roio,1 january,23 December,31 December
blessed-catherine-de-solaguti,1 january,23 December,31 December
blessed-gisela-of-rosstreppe,1 january,23 December,31 December
blessed-hugolinus-of-gualdo-cattaneo,1 january,23 December,31 December
blessed-jean-baptiste-lego,1 january,23 December,31 December
blessed-jean-of-saint-just-en-chaussee,1 january,23 December,31 December
blessed-lojze-grozde,1 january,23 December,31 December
blessed-marian-konopinski,1 january,23 December,31 December
blessed-odilo-of-stavelot,1 january,23 December,31 December
blessed-rene-lego,1 january,23 December,31 December
blessed-valentin-paquay,1 january,23 December,31 December
breton-missionaries-to-britain,1 january,23 December,31 December
feast-of-the-circumcision-of-the-lord,1 january,23 December,31 December
martyred-soldiers-of-rome-1-january,1 january,23 December,31 December
martyrs-of-africa-1-january,1 january,23 December,31 December
saint-baglan-of-wales,1 january,23 December,31 December
saint-basilius-of-ancyra,1 january,23 December,31 December
saint-basil-of-aix,1 january,23 December,31 December
saint-brogan,1 january,23 December,31 December
saint-buonfiglio-monaldi,1 january,23 December,31 December
saint-clarus-of-vallis-regia,1 january,23 December,31 December
saint-clarus-of-vienne,1 january,23 December,31 December
saint-colman-mac-ronan,1 january,23 December,31 December
saint-colman-muillin-of-derrykeighan,1 january,23 December,31 December
saint-concordius-of-arles,1 january,23 December,31 December
saint-concordius-of-spoleto,1 january,23 December,31 December
saint-concordius-of-tivoli,1 january,23 December,31 December
saint-connat,1 january,23 December,31 December
saint-cuan,1 january,23 December,31 December
saint-demet-of-plozevet,1 january,23 December,31 December
saint-elvan,1 january,23 December,31 December
saint-eugendus-of-condat,1 january,23 December,31 December
saint-euphrosyne-of-alexandria,1 january,23 December,31 December
saint-fanchea-of-rossory,1 january,23 December,31 December
saint-felix-of-bourges,1 january,23 December,31 December
saint-fintan-of-myshall,1 january,23 December,31 December
saint-frodobert-of-troyes,1 january,23 December,31 December
saint-fulgentius-of-ruspe,1 january,23 December,31 December
saint-gregory-nazianzen-the-elder,1 january,23 December,31 December
saint-joseph-mary-tomasi,1 january,23 December,31 December
saint-justin-of-chieti,1 january,23 December,31 December
saint-maelrhys,1 january,23 December,31 December
saint-magnus-the-martyr,1 january,23 December,31 December
saint-mydwyn,1 january,23 December,31 December
saint-odilo-of-cluny,1 january,23 December,31 December
saint-peter-of-atroa,1 january,23 December,31 December
saint-peter-of-temissis,1 january,23 December,31 December
saint-sciath-of-ardskeagh,1 january,23 December,31 December
saint-severino-gallo,1 january,23 December,31 December
saint-telemachus,1 january,23 December,31 December
saint-thaumastus-of-mainz,1 january,23 December,31 December
saint-theodotus-1-january,1 january,23 December,31 December
saint-tyfrydog,1 january,23 December,31 December
saint-vincent-strambi,1 january,23 December,31 December
saint-william-of-dijon,1 january,23 December,31 December
saint-zedislava-berka,1 january,23 December,31 December
saint-zygmunt-gorazdowski,1 january,23 December,31 December
world-day-of-peace,1 january,23 December,31 December
blessed-guillaume-repin,2 january,24 December,01 January
blessed-guillermo-de-loarte,2 january,24 December,01 January
blessed-laurent-batard,2 january,24 December,01 January
blessed-marcolinus-amanni,2 january,24 December,01 January
blessed-maria-anna-blondin,2 january,24 December,01 January
blessed-odino-of-rot,2 january,24 December,01 January
blessed-stephana-de-quinzanis,2 january,24 December,01 January
blessed-sylvester-of-troina,2 january,24 December,01 January
many-martyrs-who-suffered-in-rome,2 january,24 December,01 January
martyrs-of-antioch-2-january,2 january,24 December,01 January
martyrs-of-ethiopia,2 january,24 December,01 January
martyrs-of-jerusalem,2 january,24 December,01 January
martyrs-of-lichfield,2 january,24 December,01 January
martyrs-of-piacenza,2 january,24 December,01 January
martyrs-of-puy,2 january,24 December,01 January
martyrs-of-syrmium,2 january,24 December,01 January
martyrs-of-tomi,2 january,24 December,01 January
menology-of-england-and-wales-many-martyrs-of-britain-c-300,2 january,24 December,01 January
saint-adelard-of-corbie,2 january,24 December,01 January
saint-airaldus-of-maurienne,2 january,24 December,01 January
saint-alverius-of-agaunum,2 january,24 December,01 January
saint-asclepius-of-limoges,2 january,24 December,01 January
saint-aspasius-of-auch,2 january,24 December,01 January
saint-basil-the-great,2 january,24 December,01 January
saint-baudimius-of-auvergne,2 january,24 December,01 January
saint-blidulf-of-bobbio,2 january,24 December,01 January
saint-defendente-the-theban,2 january,24 December,01 January
saint-dietmar-of-prague,2 january,24 December,01 January
saint-gaspare-bufalo,2 january,24 December,01 January
saint-gregory-of-nazianzen,2 january,24 December,01 January
saint-hortolana-of-assisi,2 january,24 December,01 January
saint-isidore-of-antioch,2 january,24 December,01 January
saint-isidore-of-nitria,2 january,24 December,01 January
saint-john-camillus-the-good,2 january,24 December,01 January
saint-koupaia,2 january,24 December,01 January
saint-macarius-of-rome,2 january,24 December,01 January
saint-macarius-the-younger,2 january,24 December,01 January
